trial  XDAT   ttype  cond   occur  face#  roi#   x      y      w      h      							x	y	w	h
46	141	2	2	1	1	3	201.24	226.11	31.29	18.77
46	141	2	2	1	1	4	204.09	247.03	30.58	23.89
46	141	2	2	1	2	1	364.8	180.29	71.11	113.49
46	141	2	2	1	2	2	366.22	196.31	50.49	33.28
46	141	2	2	1	2	3	370.49	228.59	30.58	19.63
46	141	2	2	1	2	4	371.91	250.56	34.13	23.89
47	135	2	2	1	0	1	368.36	178.51	77.51	118.61
47	135	2	2	1	0	2	372.62	195.42	66.13	31.57
47	135	2	2	1	0	3	391.11	226	31.29	19.63
47	135	2	2	1	0	4	384	247.89	46.93	23.04
47	135	2	2	1	1	1	197.69	172.27	73.24	122.03
47	135	2	2	1	1	2	203.38	190.08	62.58	31.57
47	135	2	2	1	1	3	219.02	220.66	33.42	20.48
47	135	2	2	1	1	4	215.47	243.4	41.96	27.31
47	135	2	2	1	2	1	282.31	175.83	77.51	119.47
47	135	2	2	1	2	2	288.71	195.42	63.29	30.72
47	135	2	2	1	2	3	304.36	225.14	30.58	18.77
47	135	2	2	1	2	4	298.67	246.14	42.67	26.45
48	153	2	2	2	0	1	280.18	175.83	70.4	119.47
48	153	2	2	2	0	2	294.4	190.08	52.62	34.13
48	153	2	2	2	0	3	318.58	223.22	32	19.63
48	153	2	2	2	0	4	314.31	245.22	32.71	24.75
48	153	2	2	2	1	1	193.42	175.83	67.56	117.76
48	153	2	2	2	1	2	209.78	198.1	49.78	31.57
48	153	2	2	2	1	3	230.4	228.67	28.44	18.77
48	153	2	2	2	1	4	223.29	249.71	30.58	21.33
48	153	2	2	2	2	1	369.78	179.4	65.42	116.91
48	153	2	2	2	2	2	381.16	198.99	54.04	33.28
48	153	2	2	2	2	3	402.49	231.27	31.29	20.48
48	153	2	2	2	2	4	396.8	254.08	32.71	23.04
49	143	2	2	1	0	1	364.09	179.4	76.09	114.35
49	143	2	2	1	0	2	376.89	197.21	59.73	32.43
49	143	2	2	1	0	3	397.51	228.63	32	17.92
49	143	2	2	1	0	4	396.09	248.85	36.98	21.33
49	143	2	2	1	1	1	192	176.73	82.49	119.47
49	143	2	2	1	1	2	209.07	195.42	62.58	31.57
49	143	2	2	1	1	3	231.11	226	32	19.63
49	143	2	2	1	1	4	224.71	247.89	42.67	23.89
49	143	2	2	1	2	1	282.31	177.62	78.93	122.03
